,Unnamed: 0,reaction,solved,input_reaction,rules,solved_by,confidence,R-ids,datasets,correct_reaction,wrong_reactions
206,206,[CH:39]1=[C:38]([CH:43]=[CH:42][CH:41]=[CH:40]1)[Se:37][Se:36][C:44]2=[CH:45][CH:46]=[CH:47][CH:48]=[CH:49]2.[O:9]=[S:8](=[O:10])([O:11][CH2:12][CH2:13][C:14]1([CH:33]2[N:29]([CH2:30][CH:31]=[CH2:32])[CH2:28][CH2:27][C:26]23[CH:16]([C:17]([NH:19][C:20]4=[CH:25][CH:24]=[CH:23][CH:22]=[C:21]34)=[O:18])[CH2:15]1)[CH:34]=[CH2:35])[C:5]5=[CH:4][CH:3]=[C:2]([CH:7]=[CH:6]5)[CH3:1]>>[CH:16]12[C:17](=[O:18])[NH:19][C:20]=3[C:21]([C:26]14[CH:33]([C:14]([CH2:15]2)([CH2:13][CH2:12][Se:37][C:38]5=[CH:43][CH:42]=[CH:41][CH:40]=[CH:39]5)[CH:34]=[CH2:35])[N:29]([CH2:28][CH2:27]4)[CH2:30][CH:31]=[CH2:32])=[CH:22][CH:23]=[CH:24][CH:25]=3.[CH:47]=1[CH:48]=[CH:49][C:44]([SeH:36])=[CH:45][CH:46]=1,False,[CH:39]1=[C:38]([CH:43]=[CH:42][CH:41]=[CH:40]1)[Se:37][Se:36][C:44]2=[CH:45][CH:46]=[CH:47][CH:48]=[CH:49]2.[O:9]=[S:8](=[O:10])([O:11][CH2:12][CH2:13][C:14]1([CH:33]2[N:29]([CH2:30][CH:31]=[CH2:32])[CH2:28][CH2:27][C:26]23[CH:16]([C:17]([NH:19][C:20]4=[CH:25][CH:24]=[CH:23][CH:22]=[C:21]34)=[O:18])[CH2:15]1)[CH:34]=[CH2:35])[C:5]5=[CH:4][CH:3]=[C:2]([CH:7]=[CH:6]5)[CH3:1]>>[CH:16]12[C:17](=[O:18])[NH:19][C:20]=3[C:21]([C:26]14[CH:33]([C:14]([CH2:15]2)([CH2:13][CH2:12][Se:37][C:38]5=[CH:43][CH:42]=[CH:41][CH:40]=[CH:39]5)[CH:34]=[CH2:35])[N:29]([CH2:28][CH2:27]4)[CH2:30][CH:31]=[CH2:32])=[CH:22][CH:23]=[CH:24][CH:25]=3.[CH:47]=1[CH:48]=[CH:49][C:44]([SeH:36])=[CH:45][CH:46]=1,,,,['golden_dataset_665'],['golden_dataset'],,['[CH:39]1=[C:38]([CH:43]=[CH:42][CH:41]=[CH:40]1)[Se:37][Se:36][C:44]2=[CH:45][CH:46]=[CH:47][CH:48]=[CH:49]2.[O:9]=[S:8](=[O:10])([O:11][CH2:12][CH2:13][C:14]1([CH:33]2[N:29]([CH2:30][CH:31]=[CH2:32])[CH2:28][CH2:27][C:26]23[CH:16]([C:17]([NH:19][C:20]4=[CH:25][CH:24]=[CH:23][CH:22]=[C:21]34)=[O:18])[CH2:15]1)[CH:34]=[CH2:35])[C:5]5=[CH:4][CH:3]=[C:2]([CH:7]=[CH:6]5)[CH3:1]>>[CH:16]12[C:17](=[O:18])[NH:19][C:20]=3[C:21]([C:26]14[CH:33]([C:14]([CH2:15]2)([CH2:13][CH2:12][Se:37][C:38]5=[CH:43][CH:42]=[CH:41][CH:40]=[CH:39]5)[CH:34]=[CH2:35])[N:29]([CH2:28][CH2:27]4)[CH2:30][CH:31]=[CH2:32])=[CH:22][CH:23]=[CH:24][CH:25]=3.[CH:47]=1[CH:48]=[CH:49][C:44]([SeH:36])=[CH:45][CH:46]=1']
207,207,[CH:11](=[CH2:12])[C:10]1([CH:13]=[CH2:14])[CH:15]2[C:7]3([CH:8]([CH2:9]1)[C:16]([NH:18][C:19]=4[C:20]3=[CH:21][CH:22]=[CH:23][CH:24]=4)=[O:17])[CH2:6][CH2:5][N:4]2[CH2:3][CH:2]=[CH2:1].O.O>>[C:19]=12[C:20](=[CH:21][CH:22]=[CH:23][CH:24]=1)[C:7]34[CH:8]([C:16](=[O:17])[NH:18]2)[CH2:9][C:10]5([CH:15]4[N:4]([CH2:5][CH2:6]3)[CH2:3][CH:2]=[CH:11]5)[CH:13]=[CH2:14].O[CH3:14].O[CH3:1],True,[CH:11](=[CH2:12])[C:10]1([CH:13]=[CH2:14])[CH:15]2[C:7]3([CH:8]([CH2:9]1)[C:16]([NH:18][C:19]=4[C:20]3=[CH:21][CH:22]=[CH:23][CH:24]=4)=[O:17])[CH2:6][CH2:5][N:4]2[CH2:3][CH:2]=[CH2:1]>>[C:19]=12[C:20](=[CH:21][CH:22]=[CH:23][CH:24]=1)[C:7]34[CH:8]([C:16](=[O:17])[NH:18]2)[CH2:9][C:10]5([CH:15]4[N:4]([CH2:5][CH2:6]3)[CH2:3][CH:2]=[CH:11]5)[CH:13]=[CH2:14],"['append O to C-C bond', 'default single bond', 'append O to C-C bond', 'default single bond']",mcs-based,0.1669999957084655,['golden_dataset_666'],['golden_dataset'],,['[CH:11](=[CH2:12])[C:10]1([CH:13]=[CH2:14])[CH:15]2[C:7]3([CH:8]([CH2:9]1)[C:16]([NH:18][C:19]=4[C:20]3=[CH:21][CH:22]=[CH:23][CH:24]=4)=[O:17])[CH2:6][CH2:5][N:4]2[CH2:3][CH:2]=[CH2:1]>>[C:19]=12[C:20](=[CH:21][CH:22]=[CH:23][CH:24]=1)[C:7]34[CH:8]([C:16](=[O:17])[NH:18]2)[CH2:9][C:10]5([CH:15]4[N:4]([CH2:5][CH2:6]3)[CH2:3][CH:2]=[CH:11]5)[CH:13]=[CH2:14].O[CH3:14].O[CH3:1]']
208,208,[CH2:13]([C:12]12[C:7]([CH3:8])([CH2:6][CH2:5][CH:4]([CH2:15]1)[C:2](=[CH2:3])[CH3:1])[CH2:9][CH:10]=[CH:11]2)[OH:14].[CH3:16][C:17]([CH3:18])([CH3:19])[O:20][OH:21]>>[O:21]1[CH:11]2[C:12]3([CH2:13][OH:14])[C:7]([CH3:8])([CH2:9][CH:10]12)[CH2:6][CH2:5][CH:4]([CH2:15]3)[C:2](=[CH2:3])[CH3:1].[CH3:16][C:17]([CH3:18])([CH3:19])[OH:20],True,[CH2:13]([C:12]12[C:7]([CH3:8])([CH2:6][CH2:5][CH:4]([CH2:15]1)[C:2](=[CH2:3])[CH3:1])[CH2:9][CH:10]=[CH:11]2)[OH:14].[CH3:16][C:17]([CH3:18])([CH3:19])[O:20][OH:21]>>[O:21]1[CH:11]2[C:12]3([CH2:13][OH:14])[C:7]([CH3:8])([CH2:9][CH:10]12)[CH2:6][CH2:5][CH:4]([CH2:15]3)[C:2](=[CH2:3])[CH3:1],[],mcs-based,1.0,['golden_dataset_673'],['golden_dataset'],[CH2:13]([C:12]12[C:7]([CH3:8])([CH2:6][CH2:5][CH:4]([CH2:15]1)[C:2](=[CH2:3])[CH3:1])[CH2:9][CH:10]=[CH:11]2)[OH:14].[CH3:16][C:17]([CH3:18])([CH3:19])[O:20][OH:21]>>[O:21]1[CH:11]2[C:12]3([CH2:13][OH:14])[C:7]([CH3:8])([CH2:9][CH:10]12)[CH2:6][CH2:5][CH:4]([CH2:15]3)[C:2](=[CH2:3])[CH3:1].[CH3:16][C:17]([CH3:18])([CH3:19])[OH:20],[]
209,209,[CH3:22][CH:21]([CH3:23])[N:20]([CH:24]([CH3:25])[CH3:26])[Li:19].[CH3:27][Si:28]([CH3:29])([CH3:30])[Cl:31].[O:11]([C:10]1=[CH:9][C:7]([CH3:8])=[CH:6][CH:5]=[C:4]1[C:2](=[O:3])[CH3:1])[CH2:12][C:13]2=[CH:14][CH:15]=[CH:16][CH:17]=[CH:18]2>>[CH3:27][Si:28]([CH3:29])([CH3:30])[O:3][C:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH3:8])[CH:9]=[C:10]1[O:11][CH2:12][C:13]2=[CH:18][CH:17]=[CH:16][CH:15]=[CH:14]2)=[CH2:1].[ClH:31].[Li:19][N:20]([CH:21]([CH3:22])[CH3:23])[CH:24]([CH3:25])[CH3:26],True,[CH3:22][CH:21]([CH3:23])[N:20]([CH:24]([CH3:25])[CH3:26])[Li:19].[CH3:27][Si:28]([CH3:29])([CH3:30])[Cl:31].[O:11]([C:10]1=[CH:9][C:7]([CH3:8])=[CH:6][CH:5]=[C:4]1[C:2](=[O:3])[CH3:1])[CH2:12][C:13]2=[CH:14][CH:15]=[CH:16][CH:17]=[CH:18]2>>[CH3:27][Si:28]([CH3:29])([CH3:30])[O:3][C:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH3:8])[CH:9]=[C:10]1[O:11][CH2:12][C:13]2=[CH:18][CH:17]=[CH:16][CH:15]=[CH:14]2)=[CH2:1],[],mcs-based,0.9940000176429749,['golden_dataset_678'],['golden_dataset'],[CH3:22][CH:21]([CH3:23])[N:20]([CH:24]([CH3:25])[CH3:26])[Li:19].[CH3:27][Si:28]([CH3:29])([CH3:30])[Cl:31].[O:11]([C:10]1=[CH:9][C:7]([CH3:8])=[CH:6][CH:5]=[C:4]1[C:2](=[O:3])[CH3:1])[CH2:12][C:13]2=[CH:14][CH:15]=[CH:16][CH:17]=[CH:18]2>>[CH3:27][Si:28]([CH3:29])([CH3:30])[O:3][C:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH3:8])[CH:9]=[C:10]1[O:11][CH2:12][C:13]2=[CH:18][CH:17]=[CH:16][CH:15]=[CH:14]2)=[CH2:1].[ClH:31].[Li:19][N:20]([CH:21]([CH3:22])[CH3:23])[CH:24]([CH3:25])[CH3:26],[]
210,210,[C:3]([C:5]1=[CH:6][CH:7]=[CH:8][C:9](=[CH:11]1)[Cl:10])(=[O:4])[O:2][OH:1].[CH3:21][Si:20]([CH3:22])([CH3:23])[O:19][C:17]([C:16]1=[C:24]([CH:33]=[C:13]([CH:14]=[CH:15]1)[CH3:12])[O:25][CH2:26][C:27]2=[CH:32][CH:31]=[CH:30][CH:29]=[CH:28]2)=[CH2:18]>>[C:16]=1([CH:15]=[CH:14][C:13](=[CH:33][C:24]=1[O:25][CH2:26][C:27]2=[CH:32][CH:31]=[CH:30][CH:29]=[CH:28]2)[CH3:12])[C:17](=[O:19])[CH2:18][OH:1].[O:2]([C:3](=[O:4])[c:5]1[cH:6][cH:7][cH:8][c:9]([Cl:10])[cH:11]1)[Si:20]([CH3:21])([CH3:22])[CH3:23],True,[C:3]([C:5]1=[CH:6][CH:7]=[CH:8][C:9](=[CH:11]1)[Cl:10])(=[O:4])[O:2][OH:1].[CH3:21][Si:20]([CH3:22])([CH3:23])[O:19][C:17]([C:16]1=[C:24]([CH:33]=[C:13]([CH:14]=[CH:15]1)[CH3:12])[O:25][CH2:26][C:27]2=[CH:32][CH:31]=[CH:30][CH:29]=[CH:28]2)=[CH2:18]>>[C:16]=1([CH:15]=[CH:14][C:13](=[CH:33][C:24]=1[O:25][CH2:26][C:27]2=[CH:32][CH:31]=[CH:30][CH:29]=[CH:28]2)[CH3:12])[C:17](=[O:19])[CH2:18][OH:1],['default single bond'],mcs-based,0.9769999980926514,['golden_dataset_679'],['golden_dataset'],[C:3]([C:5]1=[CH:6][CH:7]=[CH:8][C:9](=[CH:11]1)[Cl:10])(=[O:4])[O:2][OH:1].[CH3:21][Si:20]([CH3:22])([CH3:23])[O:19][C:17]([C:16]1=[C:24]([CH:33]=[C:13]([CH:14]=[CH:15]1)[CH3:12])[O:25][CH2:26][C:27]2=[CH:32][CH:31]=[CH:30][CH:29]=[CH:28]2)=[CH2:18]>>[C:16]=1([CH:15]=[CH:14][C:13](=[CH:33][C:24]=1[O:25][CH2:26][C:27]2=[CH:32][CH:31]=[CH:30][CH:29]=[CH:28]2)[CH3:12])[C:17](=[O:19])[CH2:18][OH:1].[O:2]([C:3](=[O:4])[c:5]1[cH:6][cH:7][cH:8][c:9]([Cl:10])[cH:11]1)[Si:20]([CH3:21])([CH3:22])[CH3:23],[]
211,211,[CH:8]=1[C:3](=[CH:4][CH:5]=[CH:6][CH:7]=1)[P+:2]([C:9]=2[CH:14]=[CH:13][CH:12]=[CH:11][CH:10]=2)([C:15]=3[CH:20]=[CH:19][CH:18]=[CH:17][CH:16]=3)[CH3:1].[CH3:34][C:33]([CH3:35])([CH3:36])[Si:30]([CH3:32])([CH3:31])[O:29][CH2:28][C:26](=[O:27])[C:25]1=[C:37]([O:38][CH2:39][C:40]2=[CH:41][CH:42]=[CH:43][CH:44]=[CH:45]2)[CH:46]=[C:22]([CH3:21])[CH:23]=[CH:24]1>>[CH3:34][C:33]([CH3:35])([CH3:36])[Si:30]([CH3:32])([CH3:31])[O:29][CH2:28][C:26]([C:25]1=[C:37]([CH:46]=[C:22]([CH:23]=[CH:24]1)[CH3:21])[O:38][CH2:39][C:40]2=[CH:45][CH:44]=[CH:43][CH:42]=[CH:41]2)=[CH2:1].[P+:2]([c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)([c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)=[O:27].[H],True,[CH:8]=1[C:3](=[CH:4][CH:5]=[CH:6][CH:7]=1)[P+:2]([C:9]=2[CH:14]=[CH:13][CH:12]=[CH:11][CH:10]=2)([C:15]=3[CH:20]=[CH:19][CH:18]=[CH:17][CH:16]=3)[CH3:1].[CH3:34][C:33]([CH3:35])([CH3:36])[Si:30]([CH3:32])([CH3:31])[O:29][CH2:28][C:26](=[O:27])[C:25]1=[C:37]([O:38][CH2:39][C:40]2=[CH:41][CH:42]=[CH:43][CH:44]=[CH:45]2)[CH:46]=[C:22]([CH3:21])[CH:23]=[CH:24]1>>[CH3:34][C:33]([CH3:35])([CH3:36])[Si:30]([CH3:32])([CH3:31])[O:29][CH2:28][C:26]([C:25]1=[C:37]([CH:46]=[C:22]([CH:23]=[CH:24]1)[CH3:21])[O:38][CH2:39][C:40]2=[CH:45][CH:44]=[CH:43][CH:42]=[CH:41]2)=[CH2:1],['phosphor double bond'],mcs-based,0.9959999918937684,['golden_dataset_681'],['golden_dataset'],[CH:8]=1[C:3](=[CH:4][CH:5]=[CH:6][CH:7]=1)[P+:2]([C:9]=2[CH:14]=[CH:13][CH:12]=[CH:11][CH:10]=2)([C:15]=3[CH:20]=[CH:19][CH:18]=[CH:17][CH:16]=3)[CH3:1].[CH3:34][C:33]([CH3:35])([CH3:36])[Si:30]([CH3:32])([CH3:31])[O:29][CH2:28][C:26](=[O:27])[C:25]1=[C:37]([O:38][CH2:39][C:40]2=[CH:41][CH:42]=[CH:43][CH:44]=[CH:45]2)[CH:46]=[C:22]([CH3:21])[CH:23]=[CH:24]1>>[CH3:34][C:33]([CH3:35])([CH3:36])[Si:30]([CH3:32])([CH3:31])[O:29][CH2:28][C:26]([C:25]1=[C:37]([CH:46]=[C:22]([CH:23]=[CH:24]1)[CH3:21])[O:38][CH2:39][C:40]2=[CH:45][CH:44]=[CH:43][CH:42]=[CH:41]2)=[CH2:1].[P+:2]([c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)([c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)=[O:27].[H],[]
212,212,[CH3:11][C:10]([CH3:12])([CH3:13])[Si:7]([CH3:8])([CH3:9])[O:6][CH2:5][CH:4]([C:14]=1[C:19](=[CH:18][C:17](=[CH:16][CH:15]=1)[CH3:28])[O:20][CH2:21][C:22]=2[CH:27]=[CH:26][CH:25]=[CH:24][CH:23]=2)[CH2:3][O:2][BH2:1].[OH-:29].[OH-:30].O.O>>[OH:2][CH2:3][CH:4]([CH2:5][OH:6])[C:14]1=[CH:15][CH:16]=[C:17]([CH3:28])[CH:18]=[C:19]1[O:20][CH2:21][C:22]=2[CH:27]=[CH:26][CH:25]=[CH:24][CH:23]=2.O[BH2:1].O[Si:7]([CH3:8])([CH3:9])[C:10]([CH3:11])([CH3:12])[CH3:13].[OH-:29].[OH-:30],True,[CH3:11][C:10]([CH3:12])([CH3:13])[Si:7]([CH3:8])([CH3:9])[O:6][CH2:5][CH:4]([C:14]=1[C:19](=[CH:18][C:17](=[CH:16][CH:15]=1)[CH3:28])[O:20][CH2:21][C:22]=2[CH:27]=[CH:26][CH:25]=[CH:24][CH:23]=2)[CH2:3][O:2][BH2:1].[OH-:29].[OH-:30]>>[OH:2][CH2:3][CH:4]([CH2:5][OH:6])[C:14]1=[CH:15][CH:16]=[C:17]([CH3:28])[CH:18]=[C:19]1[O:20][CH2:21][C:22]=2[CH:27]=[CH:26][CH:25]=[CH:24][CH:23]=2,"['form M-OH', 'default single bond', 'form M-OH', 'default single bond']",mcs-based,0.9819999933242798,['golden_dataset_684'],['golden_dataset'],[CH3:11][C:10]([CH3:12])([CH3:13])[Si:7]([CH3:8])([CH3:9])[O:6][CH2:5][CH:4]([C:14]=1[C:19](=[CH:18][C:17](=[CH:16][CH:15]=1)[CH3:28])[O:20][CH2:21][C:22]=2[CH:27]=[CH:26][CH:25]=[CH:24][CH:23]=2)[CH2:3][O:2][BH2:1].[OH-:29].[OH-:30].O.O>>[OH:2][CH2:3][CH:4]([CH2:5][OH:6])[C:14]1=[CH:15][CH:16]=[C:17]([CH3:28])[CH:18]=[C:19]1[O:20][CH2:21][C:22]=2[CH:27]=[CH:26][CH:25]=[CH:24][CH:23]=2.O[BH2:1].O[Si:7]([CH3:8])([CH3:9])[C:10]([CH3:11])([CH3:12])[CH3:13].[OH-:29].[OH-:30],[]
213,213,[CH3:22][C:21]([CH3:24])([CH3:23])[Si:18]([CH3:19])([CH3:20])[O:17][C:15]=1[CH2:16][C:3]([CH3:2])=[CH:4][CH2:5][C:6]=1[CH:7]2[CH2:8][O:9][C:10]([O:13][CH2:14]2)([CH3:11])[CH3:12].[F-:1].O>>[CH3:11][C:10]1([CH3:12])[O:9][CH2:8][CH:7]([CH2:14][O:13]1)[CH:6]2[C:15](=[O:17])[CH2:16][C:3](=[CH:4][CH2:5]2)[CH3:2].O[Si:18]([CH3:19])([CH3:20])[C:21]([CH3:22])([CH3:23])[CH3:24].[F-:1],True,[CH3:22][C:21]([CH3:24])([CH3:23])[Si:18]([CH3:19])([CH3:20])[O:17][C:15]=1[CH2:16][C:3]([CH3:2])=[CH:4][CH2:5][C:6]=1[CH:7]2[CH2:8][O:9][C:10]([O:13][CH2:14]2)([CH3:11])[CH3:12].[F-:1]>>[CH3:11][C:10]1([CH3:12])[O:9][CH2:8][CH:7]([CH2:14][O:13]1)[CH:6]2[C:15](=[O:17])[CH2:16][C:3](=[CH:4][CH2:5]2)[CH3:2],"['form M-OH', 'default single bond']",mcs-based,0.9990000128746032,['golden_dataset_689'],['golden_dataset'],[CH3:22][C:21]([CH3:24])([CH3:23])[Si:18]([CH3:19])([CH3:20])[O:17][C:15]=1[CH2:16][C:3]([CH3:2])=[CH:4][CH2:5][C:6]=1[CH:7]2[CH2:8][O:9][C:10]([O:13][CH2:14]2)([CH3:11])[CH3:12].[F-:1].O>>[CH3:11][C:10]1([CH3:12])[O:9][CH2:8][CH:7]([CH2:14][O:13]1)[CH:6]2[C:15](=[O:17])[CH2:16][C:3](=[CH:4][CH2:5]2)[CH3:2].O[Si:18]([CH3:19])([CH3:20])[C:21]([CH3:22])([CH3:23])[CH3:24].[F-:1],[]
214,214,[CH3:10][C:9]([CH3:11])([CH3:12])[S:7](=[O:8])[NH:6][CH:5]([CH:4]=[C:2]([CH3:1])[CH3:3])[C:13]=1[CH:14]=[CH:15][CH:16]=[C:17]2[N:34]([CH:33]=[C:19]([C:18]=12)[CH2:20][CH2:21][O:22][S:23](=[O:24])(=[O:25])[C:26]3=[CH:27][CH:28]=[C:29]([CH:31]=[CH:32]3)[CH3:30])[S:35](=[O:36])(=[O:37])[C:38]4=[CH:39][CH:40]=[C:41]([CH3:42])[CH:43]=[CH:44]4>>[CH3:10][C:9]([CH3:11])([CH3:12])[S:7](=[O:8])[N:6]1[CH2:21][CH2:20][C:19]2=[CH:33][N:34]([C:17]=3[CH:16]=[CH:15][CH:14]=[C:13]([C:18]2=3)[CH:5]1[CH:4]=[C:2]([CH3:1])[CH3:3])[S:35](=[O:36])(=[O:37])[C:38]=4[CH:39]=[CH:40][C:41]([CH3:42])=[CH:43][CH:44]=4.[OH:22][S:23](=[O:24])(=[O:25])[c:26]1[cH:27][cH:28][c:29]([CH3:30])[cH:31][cH:32]1,True,[CH3:10][C:9]([CH3:11])([CH3:12])[S:7](=[O:8])[NH:6][CH:5]([CH:4]=[C:2]([CH3:1])[CH3:3])[C:13]=1[CH:14]=[CH:15][CH:16]=[C:17]2[N:34]([CH:33]=[C:19]([C:18]=12)[CH2:20][CH2:21][O:22][S:23](=[O:24])(=[O:25])[C:26]3=[CH:27][CH:28]=[C:29]([CH:31]=[CH:32]3)[CH3:30])[S:35](=[O:36])(=[O:37])[C:38]4=[CH:39][CH:40]=[C:41]([CH3:42])[CH:43]=[CH:44]4>>[CH3:10][C:9]([CH3:11])([CH3:12])[S:7](=[O:8])[N:6]1[CH2:21][CH2:20][C:19]2=[CH:33][N:34]([C:17]=3[CH:16]=[CH:15][CH:14]=[C:13]([C:18]2=3)[CH:5]1[CH:4]=[C:2]([CH3:1])[CH3:3])[S:35](=[O:36])(=[O:37])[C:38]=4[CH:39]=[CH:40][C:41]([CH3:42])=[CH:43][CH:44]=4,[],mcs-based,1.0,['golden_dataset_696'],['golden_dataset'],[CH3:10][C:9]([CH3:11])([CH3:12])[S:7](=[O:8])[NH:6][CH:5]([CH:4]=[C:2]([CH3:1])[CH3:3])[C:13]=1[CH:14]=[CH:15][CH:16]=[C:17]2[N:34]([CH:33]=[C:19]([C:18]=12)[CH2:20][CH2:21][O:22][S:23](=[O:24])(=[O:25])[C:26]3=[CH:27][CH:28]=[C:29]([CH:31]=[CH:32]3)[CH3:30])[S:35](=[O:36])(=[O:37])[C:38]4=[CH:39][CH:40]=[C:41]([CH3:42])[CH:43]=[CH:44]4>>[CH3:10][C:9]([CH3:11])([CH3:12])[S:7](=[O:8])[N:6]1[CH2:21][CH2:20][C:19]2=[CH:33][N:34]([C:17]=3[CH:16]=[CH:15][CH:14]=[C:13]([C:18]2=3)[CH:5]1[CH:4]=[C:2]([CH3:1])[CH3:3])[S:35](=[O:36])(=[O:37])[C:38]=4[CH:39]=[CH:40][C:41]([CH3:42])=[CH:43][CH:44]=4.[OH:22][S:23](=[O:24])(=[O:25])[c:26]1[cH:27][cH:28][c:29]([CH3:30])[cH:31][cH:32]1,[]
215,215,[C:14]([CH:16]1[CH2:17][CH2:18][CH2:19][NH:20]1)([O:13][CH3:12])=[O:15].[CH:6]=1[CH:7]=[C:8]([Br:9])[CH:10]=[CH:11][C:5]=1[C:3]([CH2:2][NH2:1])=[O:4]>>[C:3]([C:5]1=[CH:6][CH:7]=[C:8]([Br:9])[CH:10]=[CH:11]1)(=[O:4])[CH2:2][NH:1][C:14](=[O:15])[CH:16]2[NH:20][CH2:19][CH2:18][CH2:17]2.[CH3:12][OH:13],True,[C:14]([CH:16]1[CH2:17][CH2:18][CH2:19][NH:20]1)([O:13][CH3:12])=[O:15].[CH:6]=1[CH:7]=[C:8]([Br:9])[CH:10]=[CH:11][C:5]=1[C:3]([CH2:2][NH2:1])=[O:4]>>[C:3]([C:5]1=[CH:6][CH:7]=[C:8]([Br:9])[CH:10]=[CH:11]1)(=[O:4])[CH2:2][NH:1][C:14](=[O:15])[CH:16]2[NH:20][CH2:19][CH2:18][CH2:17]2,[],mcs-based,0.9940000176429749,['golden_dataset_707'],['golden_dataset'],[C:14]([CH:16]1[CH2:17][CH2:18][CH2:19][NH:20]1)([O:13][CH3:12])=[O:15].[CH:6]=1[CH:7]=[C:8]([Br:9])[CH:10]=[CH:11][C:5]=1[C:3]([CH2:2][NH2:1])=[O:4]>>[C:3]([C:5]1=[CH:6][CH:7]=[C:8]([Br:9])[CH:10]=[CH:11]1)(=[O:4])[CH2:2][NH:1][C:14](=[O:15])[CH:16]2[NH:20][CH2:19][CH2:18][CH2:17]2.[CH3:12][OH:13],[]
216,216,[CH:25]=1[C:20](=[CH:21][CH:22]=[CH:23][CH:24]=1)[CH:19]([C:26]=2[CH:31]=[CH:30][CH:29]=[CH:28][CH:27]=2)[C:18]#[N:17].[O:9]=[S:8](=[O:10])([C:5]=1[CH:6]=[CH:7][C:2](=[CH:3][CH:4]=1)[CH3:1])[O:11][CH:12]2[CH2:16][NH:15][CH2:14][CH2:13]2>>[C:20]=1([CH:21]=[CH:22][CH:23]=[CH:24][CH:25]=1)[C:19]([C:26]=2[CH:27]=[CH:28][CH:29]=[CH:30][CH:31]=2)([C:18]#[N:17])[CH:12]3[CH2:16][NH:15][CH2:14][CH2:13]3.[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:8](=[O:9])(=[O:10])[OH:11])[cH:6][cH:7]1,True,[CH:25]=1[C:20](=[CH:21][CH:22]=[CH:23][CH:24]=1)[CH:19]([C:26]=2[CH:31]=[CH:30][CH:29]=[CH:28][CH:27]=2)[C:18]#[N:17].[O:9]=[S:8](=[O:10])([C:5]=1[CH:6]=[CH:7][C:2](=[CH:3][CH:4]=1)[CH3:1])[O:11][CH:12]2[CH2:16][NH:15][CH2:14][CH2:13]2>>[C:20]=1([CH:21]=[CH:22][CH:23]=[CH:24][CH:25]=1)[C:19]([C:26]=2[CH:27]=[CH:28][CH:29]=[CH:30][CH:31]=2)([C:18]#[N:17])[CH:12]3[CH2:16][NH:15][CH2:14][CH2:13]3,[],mcs-based,0.996999979019165,['golden_dataset_709'],['golden_dataset'],[CH:25]=1[C:20](=[CH:21][CH:22]=[CH:23][CH:24]=1)[CH:19]([C:26]=2[CH:31]=[CH:30][CH:29]=[CH:28][CH:27]=2)[C:18]#[N:17].[O:9]=[S:8](=[O:10])([C:5]=1[CH:6]=[CH:7][C:2](=[CH:3][CH:4]=1)[CH3:1])[O:11][CH:12]2[CH2:16][NH:15][CH2:14][CH2:13]2>>[C:20]=1([CH:21]=[CH:22][CH:23]=[CH:24][CH:25]=1)[C:19]([C:26]=2[CH:27]=[CH:28][CH:29]=[CH:30][CH:31]=2)([C:18]#[N:17])[CH:12]3[CH2:16][NH:15][CH2:14][CH2:13]3.[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:8](=[O:9])(=[O:10])[OH:11])[cH:6][cH:7]1,[]
217,217,[O:5]=[C:4]([O:3][CH2:2][CH3:1])[CH2:6][C:7]1=[CH:8][CH:9]=[C:10]2[O:11][CH2:12][CH2:13][C:14]2=[CH:15]1.[H].[H].[H].[H]>>[CH2:6]([CH2:4][OH:5])[C:7]1=[CH:8][CH:9]=[C:10]2[O:11][CH2:12][CH2:13][C:14]2=[CH:15]1.[CH3:1][CH2:2][OH:3],True,[O:5]=[C:4]([O:3][CH2:2][CH3:1])[CH2:6][C:7]1=[CH:8][CH:9]=[C:10]2[O:11][CH2:12][CH2:13][C:14]2=[CH:15]1>>[CH2:6]([CH2:4][OH:5])[C:7]1=[CH:8][CH:9]=[C:10]2[O:11][CH2:12][CH2:13][C:14]2=[CH:15]1,[],mcs-based,0.9990000128746032,['golden_dataset_711'],['golden_dataset'],[O:5]=[C:4]([O:3][CH2:2][CH3:1])[CH2:6][C:7]1=[CH:8][CH:9]=[C:10]2[O:11][CH2:12][CH2:13][C:14]2=[CH:15]1.[H].[H].[H].[H]>>[CH2:6]([CH2:4][OH:5])[C:7]1=[CH:8][CH:9]=[C:10]2[O:11][CH2:12][CH2:13][C:14]2=[CH:15]1.[CH3:1][CH2:2][OH:3],[]
